language,task_type,energy_joules,time_seconds,memory_mb,source
Python,sorting,4390.2,20.1,52.4,Energy-Languages-Dataset-RAPL
C,sorting,57.0,1.1,2.1,Energy-Languages-Dataset-RAPL
C++,sorting,63.5,1.2,2.8,Energy-Languages-Dataset-RAPL
Java,sorting,415.3,3.8,245.0,Energy-Languages-Dataset-RAPL
Python,binary-trees,6340.1,55.2,86.3,Energy-Languages-Dataset-RAPL
C,binary-trees,84.2,2.1,3.5,Energy-Languages-Dataset-RAPL
C++,binary-trees,91.3,2.3,4.1,Energy-Languages-Dataset-RAPL
Java,binary-trees,510.7,4.9,258.0,Energy-Languages-Dataset-RAPL
Python,fibonacci,1200.4,8.5,12.1,Energy-Languages-Dataset-RAPL
C,fibonacci,18.3,0.4,1.2,Energy-Languages-Dataset-RAPL
C++,fibonacci,21.1,0.5,1.4,Energy-Languages-Dataset-RAPL
Java,fibonacci,145.2,1.8,180.0,Energy-Languages-Dataset-RAPL
Python,matrix-multiply,8920.5,38.3,124.5,Energy-Languages-Dataset-RAPL
C,matrix-multiply,112.4,1.8,4.2,Energy-Languages-Dataset-RAPL
C++,matrix-multiply,118.7,1.9,4.5,Energy-Languages-Dataset-RAPL
Java,matrix-multiply,780.3,6.2,312.0,Energy-Languages-Dataset-RAPL
Python,string-processing,2100.8,12.4,38.2,Energy-Languages-Dataset-RAPL
C,string-processing,35.6,0.8,1.8,Energy-Languages-Dataset-RAPL
C++,string-processing,41.2,0.9,2.1,Energy-Languages-Dataset-RAPL
Java,string-processing,298.4,3.1,210.0,Energy-Languages-Dataset-RAPL
Python,regex,3450.6,18.7,44.5,Energy-Languages-Dataset-RAPL
C,regex,52.3,1.2,2.4,Energy-Languages-Dataset-RAPL
C++,regex,58.9,1.3,2.7,Energy-Languages-Dataset-RAPL
Java,regex,382.1,4.2,225.0,Energy-Languages-Dataset-RAPL
Python,io-heavy,5200.3,28.9,68.4,Energy-Languages-Dataset-RAPL
C,io-heavy,78.4,1.9,3.2,Energy-Languages-Dataset-RAPL
C++,io-heavy,85.2,2.1,3.6,Energy-Languages-Dataset-RAPL
Java,io-heavy,462.8,5.4,280.0,Energy-Languages-Dataset-RAPL
Python,general,3200.0,15.0,45.0,Energy-Languages-Dataset-RAPL
C,general,48.0,1.0,2.0,Energy-Languages-Dataset-RAPL
C++,general,54.0,1.1,2.3,Energy-Languages-Dataset-RAPL
Java,general,320.0,3.5,220.0,Energy-Languages-Dataset-RAPL
